Название,Адрес,Категории,Рейтинг,Отзывы,Часы работы,Широта,Долгота,ID
"Белес, чайхана","проспект Чуй, 291",,4.1,329.0,,42.877653,74.567701,70000001020410287
Империя,"улица Асаналиева, 2Б",,4.2,9951.0,,42.869532,74.568366,70000001019816144
"Тай Казан, чайхана","Московская улица, 266а/1",,4.4,61.0,,42.872467,74.564997,70000001033390754
"Mubarak, чайхана","Киевская улица, 206",,4.8,25166.0,,42.875506,74.580555,70000001101939803
"Алтын Кесе, кафе","улица Бейшеналиевой, 22/2",,3.2,84.0,,42.874658,74.571113,70000001020455436
Масахиро,"улица Токтогула, 236",,4.9,12139.0,,42.873134,74.577099,70000001084011650
"Данек, кафе","Киевская улица, 254",,4.0,82.0,,42.875676,74.570689,70000001089579032
"Манты №1, кафе","улица Кулиева, 22",,4.5,354.0,,42.878082,74.568301,70000001047372880
"Урмат, чайхана","улица Рыскулова, 106",,4.7,19.0,,42.879915,74.567892,70000001025745290
"Белек, кафе","улица Бейшеналиевой, 20/3",,2.3,50.0,,42.875238,74.570689,70000001025995310
"Дилбар, кафе","улица Кулиева, 29",,4.0,44.0,,42.87779,74.568744,70000001020410396
"Мейиз, столовая","улица Пушкина, 176",,5.0,13.0,,42.878405,74.570859,70000001105149562
"Манты №1, кафе","проспект Чуй, 226",,4.6,354.0,,42.877411,74.565558,70000001057604427
"Ширин, кафе","улица Бейшеналиевой, 20/3",,3.2,65.0,,42.874717,74.570351,70000001083419696
"Navat, чайхана","проспект Дэн Сяопина, 3",,4.7,43687.0,,42.878132,74.560062,70000001020282736
"Хан, чайкана","улица Кулиева, 24",,3.0,13.0,,42.878304,74.568392,70000001069497970
"Тандыр, кафе быстрого питания","улица Кулиева, 47",,3.7,15.0,,42.880285,74.568942,70000001031597365
"Тай Казан, банкетный зал","Московская улица, 266а/1",,4.4,14.0,,42.87252,74.564756,70000001022889548
"Хуа-Жэнь Эмигрант, кафе","бульвар Молодой Гвардии, 66а",,5.0,219.0,,42.878088,74.575142,70000001113370516
Ак Бата,"улица Павлова, 14/2",,3.6,35.0,,42.878219,74.566588,70000001020414578
"Садык, кафе","проспект Чуй, 202",,,,,42.876409,74.569606,70000001083026356
"Азиз, кафе","улица Токтогула, 232",,4.4,56.0,,42.87316,74.578311,70000001020065118
"Алмаз, кафе","Киевская улица, 260/2",,2.8,4.0,,42.875477,74.568633,70000001041500723
"Кебабчы Nuri Usta, кафе","улица Уметалиева, 35/1",,4.5,228.0,,42.871611,74.581273,70000001022403363
"Панда-Хого, кафе китайской кухни","проспект Чуй, 269",,4.7,5.0,,42.877423,74.577381,70000001101693282
"Раяна, кафе","Киевская улица, 260/2",,3.5,22.0,,42.875619,74.568649,70000001041455151
"Rodem Coffee & Bakery, кофейня с корейской кухней","улица Уметалиева, 109",,4.6,342.0,,42.878697,74.581808,70000001039936678
"Ташкент плов, кафе","улица Рыскулова, 105/2",,5.0,2.0,,42.880041,74.572332,70000001111705542
"Улуу Тоо, ресторан","проспект Жибек-Жолу, 595а",,4.4,1776.0,,42.884205,74.578612,70000001035321755
"Достук, столовая","Московская улица, 250",,4.3,6.0,,42.870875,74.572134,70000001087681537
"Анар, чайхана","улица Льва Толстого, 102/4",,4.7,701.0,,42.865541,74.582904,70000001053552692
"Ырыс Ордо №1, кафе","улица Бейшеналиевой, 49Б",,4.7,8.0,,42.879332,74.572288,70000001020415463
"Альянс, кафе","Киевская улица, 258",,,,,42.875933,74.568629,70000001104292588
"Тунук, кафе","проспект Дэн Сяопина, 2а",,3.9,10.0,,42.877667,74.56101,70000001025066643
"Шашлык City, кафе","проспект Жибек-Жолу, 438",,4.6,512.0,,42.883858,74.57881,70000001049252470
"Паназиат, чайхана","улица Уметалиева, 62",,4.2,170.0,,42.873745,74.580892,70000001021686987
"Атлас, чайхана","улица Кулиева, 32",,5.0,1.0,,42.879223,74.56843,70000001112779781
"Дом плова, кафе","Киевская улица, 200",,4.4,181.0,,42.875444,74.581694,70000001105122181
"Жаңгак, чайхана","проспект Жибек-Жолу, 589",,4.6,70.0,,42.884479,74.580056,70000001111224936
"Сере, кафе","бульвар Молодой Гвардии, 73",,3.7,55.0,,42.881133,74.576633,70000001019353495
"Navat, чайхана","улица Турусбекова, 100",,4.8,43687.0,,42.879025,74.58488,70000001035589608
Yun`s Kitchen,"улица Уметалиева, 81",,4.6,508.0,,42.873903,74.58142,70000001099790125
"Хилал, кафе","проспект Чуй, 273",,2.7,34.0,,42.877448,74.573679,70000001021869134
