age,sex,screen_time_hours_per_day,social_media_hours_per_day,gaming_hours_per_day,video_hours_per_day,months_in_year,online_study_hours_per_day,internet_usage_for_homework_freq,sum,self_study_hours_per_day,phone_distraction_during_study_freq,digital_addiction_level,sleep_hours_per_night,device_usage_before_sleep_freq,GPA,rofl
"7","Мужской","45","76","65","34","23","453","Всегда","8","453","Всегда","Да","5","Да","5","1"
"18","Женский","9","7","0,5","4,5","12","1,5","Иногда","4","3,5","Часто","Не уверен(а)","7","Да","3","0"
"18","Женский","2","Не пользуюсь ","Не играю ","0,75","12 ","1,5","Часто","4","1","Иногда","Нет","7","Нет","5","0"
"20","Трап","6","3,5","2","2","12","1,5","Всегда","4","2","Часто","Да","7 часов ","Да","4","1"
"19","Мужской","12","5,5","3,5","7,5","12","1,5","Часто","4","NaN","Иногда","Да","6","Да","4","1"
"19","Женский","24","4","2","2","12","2","Всегда","4","2","Иногда","Да","8","Да","5","0"
"19","Привет меня зовут Влад и я зубная фея","5","3","2,5","3","12","2","Часто","5","2,5","Часто","Да","8","Да","4","1"
"18","Женский","10","8","0","8","52","3","Иногда","5","5","Всегда","Да","5","Да","5","1"
"18","Женский","24","2","6,5","3,5","12","1","Часто","4","4","Часто","Да","5","Да","5","0"
"18","Мужской","7","4","0","4","12","3","Всегда","4","3","Всегда","Да","8","Да","4","0"
"18","Мужской","9,5","1","4","5","12","3","Часто","4","2","Часто","Не уверен(а)","7","Иногда","4","0"
"19","Женский","7","5","0","2,5","12","2","Часто","4","1","Всегда","Да","7","Да","3","0"
"18","Женский","8,5","6","0","2,5","12","NaN","Часто","4","NaN","Всегда","Да","6,5","Да","3","0"
"18","Женский","6","1","0","0","12","5","Всегда","4","1,5","Иногда","Нет","7,5","Иногда","4","0"
"17","Мужской","5","3","0","4","12","4","Часто","4","3","Иногда","Да","6","Иногда","3","0"
"18","Женский","3","1","1","4,5","12","2","Часто","5","2","Иногда","Нет","5","Да","4","0"
"18","Женский","9","9","3,5","3","12","2,5","Всегда","5","1","Часто","Да","5,5","Да","3","0"
"18","Мужской","6","4","1","2","12","2","Часто","4","3","Часто","Нет","5","Да","2","0"
"18","Мужской","7","3","9","24","12","3","Часто","5","2","Иногда","Нет","8","Иногда","3","0"
"19","Мужской","9","3","2","6","12","0","Всегда","2","1","Всегда","Да","7","Да","3","0"
"18","Мужской","17","1","1","1","12","12","Иногда","4","3","Никогда","Нет","10","Да","5","0"
"19","Женский","4","2,5","0","4","12","2,5","Всегда","4","0","Всегда","Да","6,5","Да","4","0"
"18","Мужской","10","2","1","6","NaN","2","Часто","5","2","Часто","Да","9","Да","4","1"
"18","Не бинарная личность","24","2","7","24","12","0,17","Всегда","8","0","Всегда","Нет","5","Да","5","1"
"20","Женский","10","1,5","1,5","5,5","12","1,5","Всегда","4","1","Всегда","Да","5","Да","5","0"
"20","Мужской","13","3","2,5","3","12","7","Всегда","4","0","Всегда","Да","8","Да","4","0"
"18","Мужской","7","3","0","3","12","3","Всегда","4","2","Иногда","Да","6","Да","5","0"
"20","Мужской","8","1,75","1,5","2","12","2,5","Всегда","4","1,5","Иногда","Нет","8,5","Да","4","1"
"20","Женский","7,5","4","0","4","12","2,5","Всегда","4","1","Иногда","Да","7","Да","3","0"
"19","Женский","6,5","5","0","3,5","12","2","Часто","4","1,5","Иногда","Нет","8,5","Да","4","0"
"17","Андрогин","16","10","4","2","12","0","Всегда","4","0","Всегда","Нет","8","Да","3","1"
"21","Женский","9","4","0","2","12","0","Часто","4","0","Никогда","Да","5,5","Да","4","0"
"18","Женский","4","5","0","2","12","2,5","Часто","4","3","Иногда","Да","7","Да","4","0"
"23","Мужской","13,5","1,5","1","2,5","12","5","Часто","4","3,5","Иногда","Нет","7,5","Иногда","3","0"
"19","Женский","6","3","0","3","12","1-2","Часто","4","1","Часто","Не уверен(а)","8","Да","2","0"
"18","они их","много","очень много","мало","вери много","январь февраль март апрель май июнь июль август сентябрь октябрь ноябрь декабрь","средне статистически","Всегда","5","да","Никогда","Нет","нет","Да","2","1"
