name,cuisine,type,district,microdistict,avg_check,hours,WiFi(1/0),delivery(1/0),reviews,rating
Maarek,Европейская,Ресторан,Первомайский,Юг-2,2500,13,1,1,331,4.7
Usta Turkish Restaurant,Турецкая,Ресторан,Октябрьский,Асанбай,2500,16,1,1,597,4.6
Times Bar,Европейская,Бар,Первомайский,Ак-Босого,1200,17,1,1,313,4.6
Печки-Лавочки,Русская,Ресторан,Свердловский,Центр,1500,14,1,1,274,4.6
Papuri,Грузинская,Ресторан,Первомайский,Калыс-Ордо,1500,11,1,1,1258,4.8
Три быка,Восточная,Шашлычная,Октябрьский,3 мкр,1500,15,1,1,49,4.7
Sushi Room,Японская,Ресторан,Первомайский,Мурас-Ордо,1800,15,1,1,194,4.3
Qant,Европейская,Ресторан,Первомайский,Достук,2000,17,0,1,412,4.6
Gang Nam,Корейская,Ресторан,Октябрьский,7 мкр,1500,11,1,1,480,4.8
Bono,Европейская,Бар,Октябрьский,6 мкр,2000,14,1,1,396,4.8
Штайнброй,Немецкая,Бар,Свердловский,Восток-5,900,12,1,0,122,4.5
Arrakis,Европейская,Кофейня,Ленинский,Арча-Бешик,400,18,1,1,259,4.6
Silla,Корейская,Ресторан,Октябрьский,12 мкр,797,14,1,1,404,4.6
Тасма,Восточная,Чайхана,Ленинский,Джал-23,700,14,1,1,260,4.5
Zerno,Европейская,Ресторан,Ленинский,Центр,2200,12,1,1,759,4.6
Хива,Грузинская,Чайхана,Октябрьский,4 мкр,2500,15,1,0,1180,4.6
Батуми,Грузинская,Ресторан,Октябрьский,11 мкр,2000,14,1,0,390,4.5
Шахерезада Асанбай,Кыргызская,Чайхана,Октябрьский,Асанбай,2500,15,1,0,389,4.3
Кореана,Корейская,Ресторан,Октябрьский,Асанбай,1100,16,1,1,456,4.6
Chinatown,Китайская,Ресторан,Первомайский,Мурас-Ордо,1500,12,1,1,188,4.4
Сeasar Steak House,Cредиземноморская,Ресторан,Октябрьский,7 мкр,2500,12,1,1,442,4.8
Sonoon,Национальная,Ресторан,Первомайский,Центр,1200,13,1,1,847,4.7
Bosca,Средиземноморская,Ресторан,Октябрьский,Асанбай,2000,13,1,1,245,4.6
Embassy,Итальянская,Ресторан,Ленинский,Джал,3500,13,1,1,167,4.9
Пегас,Китайская,Ресторан,Свердловский,Центр,800,12,1,1,220,4.1
Hunkar baklava,Турецкая,Ресторан,Ленинский,Центр,1500,3,0,0,691,4.6
Truffle and Coffee gastronomy,Европейская,Кофейня,Ленинский,Центр,1400,17,1,0,280,4.3
Safa,Турецкая,Ресторан,Первомайский,Мурас-Ордо,1000,4,0,1,128,4.7
Салаам Намасте,Индийская,Ресторан,Свердловский,Центр,1000,12,0,1,56,3.2
Leto,Европейская,Кафе,Свердловский,Центр,1500,12,1,1,177,4.6
Aiyl,Восточная,Ресторан,Первомайский,Юг-2,2500,15,0,0,129,4.1
Paul,Европейская,Ресторан,Ленинский,Джал-15,1500,15,1,1,222,4.3
Truffle and Coffee gastronomy,Европейская,Кофейня,Ленинский,Ак-Орго,1500,17,1,1,254,4.4
Embassy,Итальянская,Ресторан,Ленинский,Арча-Бешик,3500,13,1,1,158,4.9
Династия,Китайская,Ресторан,Октябрьский,Асанбай,1500,12,1,1,8,4.6
Винтаж,Европейская,Бар,Ленинский,Ак-Орго,1500,14,1,1,242,4.9
SB Bar,Американская,Ресторан,Октябрьский,Восток-7,2000,15,1,1,530,4.7
Nakta,Европейская,Ресторан,Октябрьский,Кок-Жар,2000,13,1,0,165,4.8
Мурас Резорт,Европейская,Ресторан,Октябрьский,Юг-2,2500,12,0,0,56,4.4
Resto Son-Kol,Кыргызская,Ресторан,Октябрьский,Кок-Жар,2500,14,1,1,320,4.6
For Rest,Европейская,Бар,Октябрьский,Кок-Жар,1500,16,1,0,96,4.6
Supara,Кыргызская,Ресторан,Октябрьский,Кок-Жар,1700,11,1,1,629,4.6
Форель в Кашка-Суу,Восточная,Кафе,Аламудунский,Кара-Жыгач,800,9,1,0,523,4.6
Olive hotel & Spa Ala Archa,Восточная,Ресторан,Аламудунский,Кара-Жыгач,1200,14,1,1,20,4.3
Archa,Кыргызская,Ресторан,Ленинский,Ак-Ордо,3000,17,1,0,53,4.3
Загород,Грузинская,Ресторан,Аламудунский,Кара-Жыгач,2000,13,1,0,279,4.2
Три быка,Восточная,Шашлычная,Октябрьский,Кок-Жар,1400,15,1,1,45,4.7
Silla,Корейская,Ресторан,Октябрьский,Асанбай 2,797,14,1,1,401,4.6
Тасма,Восточная,Чайхана,Ленинский,Ак-Орго,700,14,1,1,248,4.5
Ziya,Турецкая,Ресторан,Октябрьский,Улан-2,1200,14,1,1,470,4.6
Чжэцзян,Китайская,Ресторан,Октябрьский,Учкун,2000,12,1,1,5,5.0
Печки-Лавочки,Европейская,Ресторан,Свердловский,Рухий-Мурас,1500,12,1,1,269,4.6
Sky Baku Steak House,Азербайджанская,Бар,Свердловский,Восток-5,2000,14,1,1,1184,4.3
Sushi Room,Японская,Реесторан,Первомайский,Достук,1800,16,1,1,192,4.3
Штайнброй,Немецкая,Бар,Свердловский,Рухий-Мурас,900,12,1,0,122,4.5
Император,Китайская,Ресторан,Свердловский,Восток-7,1200,12,1,1,247,4.5
Red Cow,Европейская,Ресторан,Первомайский,Юг-2,1500,15,1,1,212,4.3
Frunze Restaurant,Восточная,Ресторан,Первомайский,Достук,3500,14,1,1,276,4.7
Аlchik,Восточная,Ресторан,Свердловский,Рухий-Мурас,900,15,1,1,1335,4.4
NAVAT,Восточная,Ресторан,Первомайский,Юг-2,1200,14,1,1,4412,4.4
SIERRA Coffee,Американская,Кофейня,Первомайский,Центр,1000,15,1,1,1590,4.5
Cafe Relax,Европейская,Кафе,Ленинский,Центр,1400,16,1,0,924,4.6
Vanilla Sky Coffee,Турецкая,Кофейня,Первомайский,Центр,1100,17,1,0,1379,4.5
Bublik,Европейская,Кафе,Первомайский,7 мкр,800,16,1,0,2187,4.5
Cafe-bar Lesnoy,Европейская,Бар,Свердловский,Центр,1400,17,1,0,426,4.7
Social Coffee,Европейская,Кофейня,Первомайский,Асанбай,1100,17,1,0,1501,4.3
Faiza Restaurant,Уйгурская,Кафе,Свердловский,10 мкр,700,12,1,1,6770,4.5
Bellagio Coffee,Европейская,Кофейня,Первомайский,Асанбай,1000,17,1,0,1057,4.4
Frunze Restaurant,Европейская,Ресторан,Первомайский,Центр,2000,14,1,0,1807,4.6
Arzu Restaurant,Восточная,Ресторан,Октябрьский,11 мкр,1300,13,1,1,2275,4.4
Pinta Pub,Европейская,Паб,Первомайский,Асанбай,1400,14,1,0,1224,4.4
Dodo Pizza,Итальянская,Пиццерия,Октябрьский,Учкун,900,17,1,1,563,4.7
Papa John's,Итальянская,Пиццерия,Первомайский,Калыс-Ордо,1000,14,1,1,836,4.5
KFC,Американская,Фастфуд,Октябрьский,3 мкр,600,17,1,1,4299,4.3
Traveler's Coffee,Американская,Кофейня,Первомайский,Юг-2,1100,14,1,0,177,4.5
Adriano Coffee,Европейская,Кофейня,Первомайский,Достук,900,16,1,0,1145,4.5
Chicken Star,Корейский,Кафе,Первомайский,Асанбай,1100,13,1,1,1266,4.6
Dolce Vita,Восточная,Ресторан,Первомайский,Юг-2,1500,12,1,0,153,4.3
Pur-Pur,Грузинская,Ресторан,Первомайский,Центр,1400,14,1,1,960,4.6
Iwa Roof Bar,Паназиатская,Бар,Октябрьский,Центр,2800,12,1,0,312,4.5
Giraffe Coffee,Смешанная,Кофейня,Первомайский,Асанбай,900,16,1,0,1240,4.5
Torro Grill & Bar,Европейская,Бар,Первомайский,Центр,2000,14,1,0,815,4.4
Baan Baan,Тайская,Кафе,Первомайский,Центр,1200,12,1,1,520,4.7
Kenshi Sushi,Японская,Бар,Октябрьский,Улан-2,1000,14,1,1,930,4.4
Chaikana Navat Фучика,Национальная,Ресторан,Ленинский,Центр,1200,14,1,1,1850,4.3
Eshak,Национальная,Ресторан,Октябрьский,Центр,2000,14,1,1,1120,4.2
KOREANA,Корейская,Ресторан,Октябрьский,Кок-Жар,1400,13,1,1,1540,4.5
The Host,Индийская,Ресторан,Первомайский,Центр,1300,12,1,1,425,4.4
Pishpek,Национальная,Ресторан,Ленинский,Центр,1700,14,1,0,1310,4.4
Brew Coffee,Европейская,Ресторан,Свердловский,Асанбай,700,15,1,0,460,4.6
Kim Pira,Корейская,Кафе,Октябрьский,Кок-Жар,900,12,1,1,715,4.6
Taksim,Турецкая,Кафе,Первомайский,Центр,1000,17,1,1,2100,4.2
Prego,Итальянская,Ресторан,Первомайский,Центр,1600,14,1,0,730,4.5
Bulochnaya №1,Японская,Пекарня,Октябрьский,6 мкр,600,14,1,0,1050,4.5
Craft Coffee,Тайская,Кофейня,Первомайский,Центр,700,15,1,0,340,4.8
Blonder Pub,Немецкая,Паб,Свердловский,Центр,1500,15,1,0,620,4.4
Olovo,Американская,Бар,Первомайский,Центр,1800,14,1,0,410,4.7
Wood,Турецкая,Кафе,Октябрьский,Кок-Жар,1300,12,1,1,332,4.6
Голд Чиккен,Американская,Фастфуд,Октябрьский,Кок-Жар,1000,12,0,1,63,4.3
Чикеннофф,Американская,Фастфуд,Октябрьский,Кок-Жар,398,15,0,0,88,3.3
Чарпая,Восточная,Чайхана,Октябрьский,Кок-Жар,1400,13,1,0,398,4.4
Достор,Американская,Фастфуд,Октябрьский,Кара-Жыгач,200,24,1,0,75,3.0
Chef,Американская,Фастфуд,Октябрьский,Кара-Жыгач,200,24,0,0,154,4.7
Abasov Food,Смешанная,Кафе,Октябрьский,Алтын-Ордо,600,14,0,1,23,4.6
Тунгуч Форель,Восточная,Кафе,Октябрьский,Рухий-Мурас,800,12,1,0,92,3.3
Стекляшка,Смешанная,Кафе,Октябрьский,Кок-Жар,1500,12,0,0,17,4.8
Белес,Уйгурская,Чайхана,Ленинский,Центр,500,13,1,1,329,4.1
Империя,Итальянская,Пиццерия,Ленинский,Центр,1000,24,1,1,9951,4.2
Тай Казан,Восточная,Чайхана,Ленинский,Центр,1000,14,1,0,61,4.4
Mubarak,Восточная,Чайхана,Свердловский,Джал,800,22,1,1,25166,4.8
Алтын Кесе,Восточная,Кафе,Свердловский,Центр,400,11,0,0,84,3.2
Масахиро,Японская,Кафе,Свердловский,Центр,800,12,1,1,12139,4.9
Манты №1,Национальная,Кафе,Ленинский,Центр,350,24,0,0,354,4.5
Урмат,Уйгурская,Чайхана,Ленинский,Центр,600,13,0,0,19,4.7
Белек,Национальная,Кафе,Октябрьский ,10 мкр,800,16,0,1,50,2.3
Дилбар,Восточная,Кафе,Ленинский,Центр,800,16,0,1,44,4.0
Мейиз,Национальная,Столовая,Ленинский,Центр,400,16,0,0,13,5.0
Манты №1,Национальная,Кафе,Первомайский,Центр,800,16,0,1,354,4.6
Ширин,Восточная,Кафе,Ленинский,Центр,800,16,0,1,65,3.2
Navat,Восточная,Чайхана,Первомайский,Керемет,1000,16,1,1,43687,4.7
Хуа-Жэнь Эмигрант,Китайская,Кафе,Ленинский,Джал-23,800,16,0,1,219,5.0
Ак Бата,Европейская,Кафе,Октябрьский ,3 мкр,250,17,1,0,35,3.6
